F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
13.98,2.94,-225.48,Rest,-248.1,516.63,34.97,399.23,6,1,9.52,Medium,-11840.94,-9.96,-37.71,1216.28,2007.7924362561212
18.4,3.06,-250.96,UK,-227.94,435.09,0.16,-229.46,3,7,13.88,Very low,-22524.83,5.58,-35.67,1401.52,283.02811971463643
4.86,15.84,-231.98,Europe,-339.54,548.61,33.61,532.73,2,5,11.3,High,-18063.75,-7.62,-52.74,1198.04,38.74264634637075
10.8,24.08,-161.82,Europe,-304.29,343.74,188.02,86.08,4,2,15.56,Very low,-15465.15,1.47,-45.93,598.14,1718.7514931085343
13.62,7.18,-85.76,USA,-359.94,540.21,5.37,-86.05,2,3,6.84,Low,-12541.55,-14.07,-52.92,2367.7,38.730857603552074
2.18,8.0,-267.28,USA,-172.65,357.72,0.03,368.12,5,0,-1.16,Medium,-14702.86,-10.53,-38.94,1472.54,474.17216127962956
12.82,11.22,-175.26,Europe,-285.12,472.14,0.04,146.69,6,4,3.6,Very low,-13831.13,-7.08,-33.06,3448.44,39.70320149234516
20.26,8.34,-200.6,Europe,-138.75,775.02,9.76,450.83,3,4,5.4,Medium,-15026.98,-16.74,-30.45,1415.22,1525.5990410338297
16.96,12.12,-209.48,Europe,-119.58,410.94,0.02,41.73,6,5,1.68,Medium,-21081.56,-20.52,-33.57,323.6,3055.90282459423
8.7,12.54,-207.72,UK,-87.48,549.06,0.06,45.99,5,5,6.54,Low,-19466.47,-12.48,-24.66,798.56,2757.7490137015607
7.18,12.06,-257.84,UK,-239.88,499.92,0.11,60.06,5,4,1.02,Very high,-21371.49,-8.7,-15.96,2071.46,1769.1646744998502
3.44,16.4,-179.38,Rest,-196.11,509.76,7.76,-209.91,2,3,7.76,High,-4141.87,-8.73,-32.46,1255.72,3346.165690962361
9.18,14.3,-92.3,USA,-215.46,444.81,0.53,427.13,5,6,-1.48,Very high,-15857.2,1.47,-39.45,1189.42,588.8245865917938
1.9,12.76,-117.98,Rest,-121.53,404.67,290.67,254.47,3,4,-0.82,Medium,-15170.24,-6.51,-27.54,1437.04,1213.1528018327451
21.5,24.98,-188.96,UK,-161.61,483.3,0.03,425.81,3,4,2.96,Medium,-15352.69,-17.76,-35.22,1860.2,3043.5613080849976
8.86,10.1,-126.48,Rest,-276.72,749.13,10.24,7.62,5,4,13.12,Very low,-31516.61,-11.94,-8.49,667.06,1637.9305827439593
4.28,2.12,-245.84,UK,-186.24,568.05,2.07,107.23,2,5,15.84,High,-17406.97,-8.25,-38.61,1959.18,38.730656054508344
16.72,4.72,-61.46,USA,-177.18,505.44,0.02,-75.92,2,4,2.16,Very low,-23025.23,-3.51,-21.93,2155.62,148.31396601216792
14.66,1.68,-178.96,UK,-239.16,533.04,5.07,190.6,5,2,-4.24,Very low,-14915.12,7.05,-37.14,2223.76,86.36630618033087
9.94,17.28,-260.52,USA,-167.4,537.18,0.73,156.84,5,4,-4.02,Very low,-13100.14,-15.18,-26.73,1460.76,810.8571144420682
1.2,6.28,-263.46,USA,-383.64,615.9,0.9,-72.48,1,6,12.96,Low,-11716.62,-9.69,-30.27,1730.06,38.73056913713251
8.26,16.34,-141.88,Rest,-203.79,567.6,0.04,20.18,4,1,9.4,Very high,-16373.96,-7.62,-31.44,1493.26,3367.6112981644906
4.18,3.38,-246.48,Europe,-201.33,466.5,0.02,217.15,4,7,12.26,Very high,-17168.98,7.32,-41.85,1705.7,39.20970740604596
4.42,2.16,-155.6,Rest,-178.77,490.77,0.04,101.62,1,2,10.14,High,-17569.59,14.88,-34.98,1783.64,165.18948273261253
6.5,11.7,-150.44,Europe,-203.49,627.6,0.01,-116.05,5,3,11.7,Very low,-10568.1,-22.2,-42.06,2406.14,766.677138966241
4.58,6.74,-210.38,UK,-288.03,566.79,1006.35,-156.4,6,4,7.24,Low,-15171.14,-11.55,-38.25,557.32,1021.2682703691053
3.74,5.42,-199.46,USA,-267.87,551.73,5.01,-146.96,1,1,4.64,Medium,-19655.74,7.59,-31.26,2102.94,39.60575763084713
17.5,10.82,-173.3,USA,-397.65,452.22,1.45,633.35,3,4,6.48,Medium,-15570.41,-38.34,-51.45,839.4,64.58753447441853
12.64,9.18,-217.8,UK,-207.0,556.83,12.56,204.65,5,1,9.3,Low,-13662.89,-9.72,-31.5,1409.4,2278.496601955178
4.34,3.12,-130.26,UK,-169.5,520.92,4389.48,-127.69,7,1,2.8,Very high,-16729.5,-8.4,-20.25,2540.04,1225.6937009970245
13.34,3.04,-162.32,UK,-273.51,554.82,0.32,51.73,4,5,1.06,Medium,-20356.14,-13.02,-34.74,816.52,443.81266730307436
0.96,5.6,-211.12,Rest,-311.61,595.83,24.72,249.13,4,2,-2.12,Medium,-12976.67,-13.14,-34.32,1570.86,38.74037122314796
33.14,8.42,-160.56,UK,-226.35,873.03,0.4,-49.41,1,7,8.84,Very low,-15598.33,-3.15,-40.5,1931.62,1396.2076071584256
3.0,13.8,-253.14,UK,-191.97,548.16,16.14,586.79,4,2,-1.4,Low,-16574.27,-11.28,-37.83,1515.04,289.29868094622645
11.66,2.7,-200.1,Europe,-196.98,590.4,0.6,32.3,8,6,3.72,Very low,-14315.41,-11.52,-29.82,1787.98,588.1372451550885
1.36,10.64,-287.34,UK,-260.34,406.89,0.02,602.16,6,4,4.52,Very high,-24697.14,-5.67,-24.15,843.74,584.7439374808059
4.14,5.96,-266.06,UK,-93.45,494.1,0.62,69.64,4,3,3.02,Very low,-20370.49,-14.79,-30.15,1684.92,858.8868702902892
11.18,2.42,-186.96,UK,-94.92,688.05,0.28,592.85,2,4,6.28,Very low,-12765.82,-8.52,-23.22,1465.6,39.0195300182532
28.3,9.96,-102.9,UK,-166.89,507.0,0.85,420.32,4,7,-0.46,Low,-11528.12,-14.52,-36.3,2076.96,1813.5712074907997
5.06,8.38,-212.6,Europe,-204.6,529.35,0.03,-282.37,2,6,6.26,Low,-14366.5,-11.82,-36.96,1381.66,359.6532931494324
36.0,6.36,-42.18,UK,-190.53,436.11,0.59,418.8,2,2,12.72,High,-16242.48,4.26,-36.09,1262.72,3123.9426024103836
5.1,7.56,-211.96,Europe,-21.24,536.73,0.09,3.9,2,5,-2.74,High,-13248.42,-6.24,-41.31,1812.82,1382.5714527503487
3.26,8.04,-101.12,Europe,-282.6,757.89,0.27,-493.38,2,2,-4.14,Low,-10389.42,-10.86,-18.78,2780.32,192.85665628178623
4.44,8.38,-203.4,Rest,-326.19,419.97,0.78,-352.98,0,2,6.68,Medium,-14447.15,-9.27,-36.21,219.76,1168.898914564626
15.22,7.16,-213.38,UK,-177.6,727.59,0.01,373.4,6,6,1.72,Medium,-7128.87,-1.71,-42.72,1694.58,1214.3760746811815
2.7,17.14,-116.48,USA,-193.35,428.22,0.24,136.47,2,2,-3.18,High,-17179.04,-0.12,-32.37,2096.88,503.8052520038024
9.86,9.06,-156.56,Europe,-333.57,535.32,3.15,60.77,3,3,18.96,Very high,-12662.83,0.81,-31.32,173.16,1412.421634387717
12.12,1.12,-80.88,USA,-184.29,533.1,0.2,341.22,5,3,8.26,High,-15044.03,-1.29,-35.67,1216.0,507.0454190923889
3.96,6.14,-151.62,USA,-197.52,612.75,0.09,-269.4,6,6,2.6,Very low,-18849.53,-14.07,-42.69,1925.04,62.55444968000981
8.7,5.66,-133.08,USA,-342.42,755.22,41.25,-166.15,4,4,-0.36,Very low,-13325.03,-21.48,-28.23,2377.2,38.73056913852734
12.22,1.92,-129.58,USA,-84.21,552.72,0.01,294.78,5,4,9.28,Very high,-15332.96,-4.86,-28.71,1278.56,910.4452390547699
3.84,6.98,-147.86,USA,-225.66,531.06,14.9,-160.21,2,3,7.72,Low,-16330.68,3.21,-41.88,2210.26,39.02173154151249
10.34,3.28,-245.78,Europe,-90.27,584.31,0.69,401.79,3,8,5.82,Low,-15570.67,1.32,-25.98,1597.42,40.29094804183048
7.86,3.14,-263.96,USA,-299.4,495.9,0.98,537.75,3,2,6.64,Low,-15376.24,-13.2,-48.96,276.04,47.00625203691724
7.72,5.2,-102.86,Rest,-303.78,399.75,0.36,84.31,1,1,4.28,Low,-18452.41,-19.59,-29.97,1902.52,38.81952691752829
19.08,25.3,-244.98,Rest,-228.6,503.28,0.01,-2.76,3,5,9.82,High,-14525.9,-2.52,-56.16,1684.86,3367.6137874737556
11.38,2.64,-86.44,UK,-272.91,596.46,0.05,-6.67,3,3,5.76,Very low,-12113.77,-8.07,-44.73,1466.04,43.1058950658851
6.04,1.9,-227.02,Europe,-236.49,693.96,135.61,357.71,7,4,-0.92,Very low,-15133.45,-7.38,-9.75,2621.9,132.0882598497762
4.64,1.34,-149.74,USA,-153.18,454.86,126.28,470.46,1,7,5.84,High,-12176.62,-18.54,-37.35,3062.64,38.73056913713921
2.34,1.14,-250.78,USA,-206.55,383.79,13.55,361.54,2,3,8.6,High,-16353.25,-20.46,6.39,162.2,117.20070007902535
7.56,9.36,-181.64,USA,-163.29,505.59,0.12,-149.03,2,0,5.62,Very low,-19139.65,-27.27,-9.3,737.92,972.5680811524917
11.5,11.22,-361.86,USA,-99.24,641.7,0.36,168.02,5,4,5.8,Very high,-14458.23,-1.14,-50.55,1314.22,1392.410749334303
1.86,3.36,-265.78,Europe,-284.31,439.59,39.55,537.98,3,6,6.42,Very high,-13839.41,-12.21,-72.48,1647.8,38.730569147336155
6.14,17.92,-146.4,Rest,-128.46,319.62,6.32,421.77,4,2,3.62,Very high,-7819.34,-9.63,-31.47,1669.4,3363.77788150332
21.74,14.96,-168.32,USA,-172.32,346.44,0.12,-397.37,5,4,13.94,Low,-15398.12,-12.78,-31.08,1672.14,1897.4665127842798
5.04,7.16,-205.3,UK,-215.73,498.06,0.01,636.58,5,4,8.04,High,-9019.71,-10.71,-2.64,1153.86,133.71732378670626
5.88,11.52,-266.48,USA,-42.66,586.68,0.24,-55.02,5,7,10.54,Very low,-10382.14,-14.34,-39.0,878.02,858.8591611491917
10.6,7.4,-177.66,Rest,-222.57,435.75,28.7,717.6,5,6,7.22,High,-17319.82,-15.36,-29.25,1104.1,194.46845523424088
8.26,17.94,-149.9,Rest,-365.28,516.57,0.02,518.08,4,5,-5.7,Very high,-18977.19,-11.55,-41.49,1006.12,706.6737308172706
10.28,15.82,-185.98,USA,-145.86,677.1,0.05,460.34,4,5,13.56,Very low,-17671.33,-19.86,-42.15,1980.58,290.7063694969775
9.02,2.98,-172.52,Europe,-212.28,670.56,0.0,390.67,5,4,17.56,Medium,-15686.36,-1.05,-34.74,1446.2,244.71221914508456
3.66,2.02,-209.16,Europe,-304.68,473.13,4.3,-80.07,5,5,-1.2,Very low,-16329.36,-7.62,-59.76,1369.7,38.73057225725038
4.06,10.52,-197.06,Rest,-295.05,444.3,12.23,348.46,4,3,8.04,Very high,-14799.17,-27.21,-36.54,1250.8,615.3908696931111
2.94,19.9,-202.8,UK,-150.57,532.59,0.82,-153.71,2,3,-3.9,Medium,-13349.9,-17.31,-46.29,1230.5,2627.8750541904856
4.72,6.82,-188.66,Europe,-199.71,501.15,5.34,-136.14,3,4,5.92,Very high,-14640.78,-3.24,-37.5,793.0,1399.052251163633
13.34,3.4,-238.64,UK,-11.97,442.47,2.1,297.65,5,6,18.66,Low,-14369.26,-5.7,-51.54,1812.54,1740.8969226864997
28.06,7.22,-118.64,Rest,-237.3,599.94,5.34,402.42,5,2,-0.24,Medium,-16539.11,-34.17,-20.91,2083.06,3273.3466660581744
5.56,4.68,-229.62,Rest,-229.56,568.8,3.05,419.9,8,6,6.36,Very low,-40732.45,-14.91,-29.28,1132.46,75.35656900491264
6.74,8.14,-270.32,USA,-144.84,481.53,0.18,194.38,3,3,-3.76,Low,-12564.32,-6.87,-49.35,1870.92,252.75998223273123
24.28,4.4,-194.46,Rest,-246.96,630.6,35.28,541.52,4,4,12.14,High,-15907.63,-7.98,-36.66,2408.46,612.1542712950935
2.78,19.1,-183.66,UK,-159.84,321.87,0.16,-95.85,3,2,-2.24,Very low,-13647.03,-2.94,-35.88,2080.46,1809.102783937605
7.74,4.02,-235.5,Europe,-307.44,665.85,15.93,102.13,5,3,6.44,Medium,-17126.04,5.43,-47.7,2056.52,41.05996320881336
9.3,3.36,-185.66,Rest,-264.69,526.68,1.59,-94.56,4,4,6.08,Medium,-19824.58,-29.04,-32.13,2336.72,41.780431858875076
14.58,1.74,-130.02,Rest,-115.14,350.46,0.06,285.19,4,4,7.6,Medium,-15299.85,-22.08,-35.1,571.5,3180.696929831414
7.84,5.14,-219.48,USA,-233.82,415.38,86.11,-442.81,7,6,7.46,Low,-6801.7,-15.45,-62.01,1505.64,417.1031228483988
15.94,5.92,-209.68,USA,-223.38,781.68,2.18,96.49,6,2,1.18,Medium,-17753.86,-0.72,-17.61,1243.06,916.8722347777237
4.46,6.48,-164.38,Rest,-346.35,515.04,0.77,22.01,5,4,9.44,Medium,-17442.23,1.23,-45.36,-216.62,1015.2203335594816
10.62,8.24,-166.74,Europe,-171.81,501.87,0.04,272.91,2,8,-0.4,Low,-18305.84,6.57,-42.78,1450.02,38.921981897874325
18.3,3.46,-195.88,UK,-14.58,486.18,3.33,205.48,4,1,5.24,Low,-5341.65,-0.54,-12.24,2360.3,2668.7433285593975
2.42,10.18,-230.76,UK,-228.9,516.12,0.05,539.21,6,4,-3.2,Medium,-11741.15,-16.05,-31.26,966.82,286.61363293881834
9.62,4.8,-161.36,Europe,-524.37,376.47,5.13,110.6,4,4,4.26,Very low,-20714.7,-17.31,-26.7,899.28,38.73056913713479
1.14,2.74,-203.34,Europe,-200.79,706.23,0.26,191.68,1,9,7.34,Low,-14395.26,-25.2,-40.65,2858.62,38.73056913713251
4.34,10.84,-195.62,Europe,-240.78,351.99,379.27,195.6,6,6,16.26,Very low,-10199.7,-23.22,-32.04,456.18,673.3190589962409
4.26,10.8,-258.3,Europe,-217.2,653.37,15.16,127.03,8,2,-2.32,Very high,-14743.46,-4.29,-33.0,1270.16,2067.1597637726586
1.7,6.6,-170.54,UK,-301.89,496.98,3.52,-495.16,5,3,8.22,Low,-13772.53,-17.37,-37.44,2461.8,76.19840814178988
10.94,7.2,-189.9,Europe,-168.72,704.7,11.44,-466.37,4,3,-0.72,Medium,-15962.26,0.78,-39.81,2056.82,1736.8147342051816
16.0,1.46,-178.34,USA,-185.4,298.56,3.92,-0.97,6,1,-8.94,High,-13115.84,-7.95,-23.7,1281.14,1245.7023823877828
9.06,17.44,-181.76,Europe,-245.49,530.85,0.03,25.29,3,4,2.34,Very low,-17954.25,-17.4,-26.97,1874.68,691.8058515383291
6.76,1.84,-158.58,UK,-228.9,504.45,0.31,202.95,4,5,4.0,Low,-16477.64,-38.04,-33.72,1346.96,38.73112893587348
4.62,3.14,-142.2,UK,-153.93,651.69,0.29,-225.7,6,2,8.78,Low,-17349.69,-16.05,-35.04,1702.22,1850.1729828010866
1.86,6.88,-265.56,USA,-194.19,513.06,20.49,-162.0,2,7,1.0,Very low,-14806.37,4.89,-32.13,2410.72,38.730569137258136
21.06,10.3,-275.5,USA,-342.99,717.54,939.34,-140.46,3,5,-3.16,Very low,-13568.64,-12.3,-8.88,3199.64,551.368060352517
3.44,9.22,-151.82,USA,-220.59,496.8,0.0,111.62,3,4,3.86,Low,-15685.19,-17.16,-36.39,1894.9,38.934346986531104
18.52,17.78,-170.72,Europe,-188.01,358.23,0.11,337.71,4,2,10.02,Low,-17688.91,-30.33,-28.35,1512.56,2087.7577414334337
4.94,12.02,-307.04,USA,-134.46,1039.8,13.89,150.8,7,1,-6.46,Very high,-19135.41,-17.79,-37.92,2304.56,1160.8049618255704
9.8,4.88,-214.68,Europe,-250.44,477.78,0.03,511.37,4,1,7.16,Very high,-11267.18,-16.23,-33.96,2310.0,381.3766531933394
3.96,11.64,-185.76,UK,-204.66,475.83,1.28,362.6,5,6,11.0,High,-17296.38,-19.05,-34.26,1054.18,743.5574142240038
12.56,3.26,-196.86,Rest,-246.12,438.6,3.54,70.61,3,2,9.2,High,-13688.94,-8.4,-42.78,1743.26,1168.4462947446002
2.84,15.14,-198.9,UK,-281.43,684.99,0.2,405.49,4,5,3.16,Medium,-16794.96,-18.69,-38.19,1713.86,38.754422937757724
15.84,7.88,-183.54,USA,-237.27,615.84,0.06,419.61,4,4,1.22,Very high,-15197.12,-0.6,-30.06,1361.64,557.7631371280315
4.3,19.1,-101.96,USA,-177.45,470.91,19.44,101.15,2,3,6.48,Very high,-16004.46,-0.42,-20.55,2250.6,715.0996193043736
20.9,6.92,-137.48,Rest,-189.72,503.82,0.13,295.52,1,5,0.4,Very high,-24466.11,3.21,-25.92,632.48,3125.5674135637005
24.86,2.94,-137.34,UK,-260.46,445.8,10.81,-24.64,5,5,11.92,High,-14703.03,-18.9,-24.45,1285.56,2522.9133565946095
11.4,7.96,-238.34,Rest,-252.48,561.18,0.14,252.75,2,5,-0.26,Low,-15314.03,-11.34,-31.77,2217.64,38.74035733344757
2.12,2.52,-163.72,UK,-137.79,1061.61,236.11,591.8,4,5,3.04,Very low,-13225.46,-7.53,-39.51,1357.8,343.1943000214129
23.76,0.58,-269.02,UK,-372.0,745.38,0.17,166.43,3,3,-0.26,High,-17565.16,-14.76,-64.32,878.26,756.3143584348184
9.96,11.74,-129.66,UK,-310.59,473.25,0.03,216.76,2,8,15.04,High,-17962.18,-14.7,-44.01,576.96,78.42786996385803
2.3,6.86,-185.98,UK,-149.31,346.35,157.79,-548.93,3,4,7.64,Very low,-19437.92,-12.3,-34.08,1559.3,1043.3266980279664
9.72,4.86,-100.7,USA,-260.76,606.69,0.05,-179.93,2,3,-0.96,Very low,-21790.45,1.29,-36.36,1628.68,39.875829623031876
5.46,4.62,-299.28,USA,-156.57,719.07,31.21,-355.73,5,5,2.7,Low,-15889.82,-10.62,-5.07,2171.52,350.658749608423
6.8,12.72,-257.5,Europe,-325.65,525.42,1.6,-255.04,3,5,7.0,Very high,-14262.27,-16.77,-35.64,1743.76,778.4943600389879
8.52,13.0,-55.56,Rest,-293.31,490.26,9.25,149.74,6,2,-3.7,High,-27184.74,-15.42,-40.17,1840.06,2680.695584176912
8.5,5.26,-119.76,USA,-394.89,359.07,0.0,381.82,5,2,2.88,Very low,-19040.71,-3.3,-23.04,1719.52,38.73056913738068
8.12,33.8,-103.92,Rest,-95.76,483.87,0.75,47.33,3,2,15.84,Very low,-20206.04,-8.97,-35.64,1582.48,3367.6143174562912
9.98,5.02,-116.02,Rest,-70.56,495.96,0.01,363.25,2,6,7.12,Medium,-6539.7,-10.14,-45.36,1124.98,1025.68227066049
14.66,2.58,-68.28,Europe,-249.15,668.88,34.89,423.49,2,8,9.76,Very low,-13039.73,-0.63,-38.61,1110.82,38.730569186627754
5.72,4.86,-275.06,Europe,-223.14,431.61,0.54,456.27,8,4,0.34,Very high,-9164.33,-1.2,-21.9,1613.9,738.0052817746382
3.82,12.38,-214.3,Europe,-173.52,624.81,3.93,281.33,2,6,3.34,Medium,-13284.25,-6.78,-66.51,1197.02,337.92197717261445
5.16,21.22,-166.78,UK,-264.48,571.68,3.64,348.84,4,2,7.54,High,-20487.45,-9.48,-37.11,1633.96,2087.3692754865783
16.86,3.16,-203.36,USA,-185.79,540.75,0.14,340.31,9,7,1.8,Very high,-18374.44,-8.1,-38.91,1120.48,907.9664103436326
22.32,5.08,-298.4,Rest,-405.39,754.14,0.79,535.81,6,3,7.12,Medium,-14982.12,-9.51,-31.59,1790.88,169.1564138688352
11.74,5.5,-170.12,USA,-309.0,462.6,0.16,823.91,4,7,7.96,Low,-7437.9,-18.03,-28.32,2274.68,38.73056913713251
4.88,1.84,-90.64,Rest,-221.94,320.04,3.54,348.17,3,4,9.94,Low,-18361.17,-5.79,-51.12,2312.98,38.73057277935103
2.46,8.4,-216.74,USA,-274.08,536.13,3.88,-235.48,2,2,4.48,Medium,-15528.04,-6.54,-18.81,1359.6,260.373529228667
21.64,12.9,-218.2,UK,-88.53,516.6,0.1,-90.11,11,4,-2.54,Very low,-15441.25,1.44,-42.21,1151.7,3324.7447904836704
10.04,6.54,-205.6,UK,-372.66,599.76,0.19,-66.69,2,3,4.36,Low,-15538.46,5.85,-39.78,17.44,310.76250248194145
7.02,5.96,-231.46,Rest,-142.92,749.25,4.96,8.58,6,5,16.62,Very high,-14972.62,-24.18,-23.31,670.52,3334.818043372848
5.82,1.62,-89.66,Europe,-248.64,537.0,0.02,-63.02,2,4,-2.96,High,-14727.03,-6.27,-15.69,1101.32,67.34032270676248
9.14,4.44,-99.4,Europe,-265.71,591.6,11.1,189.7,4,6,5.76,High,-16427.42,-4.2,-41.94,2321.22,38.73058310071087
7.34,4.24,-130.44,Rest,-212.94,534.72,156.37,-499.36,6,7,-2.38,Very high,-12980.2,-22.44,-29.31,1508.14,1850.0364584635736
4.02,18.32,-179.68,Rest,-227.04,827.91,0.08,-32.57,6,4,4.14,Low,-17096.94,-12.12,-54.36,935.84,3223.4574652704255
2.38,1.9,-168.58,Rest,-190.74,408.45,0.45,251.88,5,4,10.3,Low,-20127.67,-17.1,-23.49,1766.92,38.74312955063742
2.5,32.84,-156.56,USA,-237.27,706.05,16.13,-145.56,2,3,10.88,Very low,-16760.04,-2.16,-34.89,580.8,1421.507296613468
2.88,3.12,7.42,UK,-264.03,402.84,1.58,307.5,5,6,10.02,High,-19684.85,-16.38,-32.97,1808.84,38.73057178841398
13.04,6.18,-161.3,Rest,-344.25,454.8,0.96,42.17,5,3,5.72,Medium,-16828.92,-3.63,-31.29,2104.06,236.17786945337843
5.92,3.42,-255.6,Europe,-279.69,616.08,7.03,-166.09,2,2,-1.62,Very low,-15922.79,-5.97,-22.11,1326.4,39.04784514196327
3.88,12.88,-351.52,USA,-334.83,529.14,2.82,930.01,5,6,2.84,Medium,-11715.63,-21.0,-35.19,1097.6,38.73056914257342
2.84,3.92,-251.92,Rest,-151.47,512.46,2.23,-201.75,3,5,11.62,High,-16827.82,-27.96,-35.25,1865.04,526.101291544685
10.24,8.86,-152.02,USA,-322.11,392.88,0.11,38.8,3,4,10.2,High,-12704.82,-20.37,-36.24,998.62,210.43988466545446
6.28,5.34,-177.8,USA,-181.02,599.64,0.02,354.8,0,2,6.2,Very low,-14842.06,-9.93,-17.88,2131.94,38.73056916976557
12.0,14.52,-211.2,UK,-251.88,572.55,0.43,-165.52,2,4,6.1,Medium,-16106.92,-16.92,-39.54,1523.0,1791.0470111304635
12.96,10.92,-315.74,USA,-366.78,537.93,43.81,36.88,8,5,4.58,Very high,-5804.73,-19.17,-38.97,2363.48,370.82767512073286
3.06,10.04,-152.4,Rest,-303.81,435.87,6.49,276.07,10,2,5.2,Low,-9231.41,1.56,-50.28,638.26,2385.867782118649
0.8,7.14,-160.32,Europe,-360.87,545.1,0.37,324.77,5,2,6.36,Very low,-13140.79,-1.89,-37.05,1208.7,38.73056934528955
17.58,8.2,-207.86,Rest,-181.86,548.19,0.49,62.27,6,8,14.72,High,-16693.27,-13.02,-35.73,1335.46,3204.7246479534365
7.18,10.78,-121.76,Rest,-318.6,632.43,7.98,304.42,3,2,-8.18,High,-14400.41,-1.56,-31.38,1676.14,232.33397800635484
4.06,0.76,-206.64,Europe,-306.66,498.03,0.76,-5.36,6,3,8.58,Very high,-13333.9,-15.81,-35.88,2235.42,40.5421427673893
